Title,PriceMin,PriceMax,Sold,Rating,Shipping,Store,URL
Women Sneakers Shoe Vulcanize Increasing Chunky Rainbow-Color Casuals-Height Female Breathable,17.1,19.38,1218,4.9,0,MBR FORCE Official Store,https://www.aliexpress.com/item/4000773857440.html
Flip-Flops Slipper Flat-Shoes Comfortable Summer Indoor Zapatillas Male NEW De Floor,2.93,2.93,2529,4.8,2.82,ATFashion Make Up Store,https://www.aliexpress.com/item/33039289352.html
Rome Sandals Unisex Couple Shoes 2020 Summer Men Women Casual Retro Sandals Sewing Flat Slippers Outdoor Footwear Big Size 35-48,12.95,15.35,25,0,0,GMSHOES Store,https://www.aliexpress.com/item/4001076525604.html
Dance-Shoes Shallow Breathable Casual Fashion Women Mujer Autumn Spring 44 Zapatos Hot-Sell,9.8,11.8,1,0,0,Elegance Exquisite Life Store,https://www.aliexpress.com/item/4001100954804.html
Bathroom Sandals Shoes Slides Men Slippers Soft-Sole Black White Plus-Size 47 Summer,6.85,8.81,479,4.6,0,BinBinLEE Store,https://www.aliexpress.com/item/4000563097685.html
Fashion Shoes Thin-Heels Women Pumps Pointed-Toe Wedding-Party Transparent Slip-On Sexy,8.7,10.61,880,4.7,0,Shop4825015 Store,https://www.aliexpress.com/item/4000349783618.html
Safety Shoes Boots Work-Sneakers Indestructible-Shoes Puncture-Proof Steel Breathable,14.32,19.94,1035,4.7,0,manlegu MenShoes Store,https://www.aliexpress.com/item/4000588993297.html
Women's Flats Shoes Breathable Mesh Sneakers Girls Knitted Flying Woven Sock Shoes 936,14.39,14.39,1,0,0,PEGGY PIGGY Store,https://www.aliexpress.com/item/4000984973441.html
Men Shoes Waterproof-Shoes Korean-Version White Spring,10.74,14.62,55,5,0,Fan Hang Yu Store,https://www.aliexpress.com/item/4000911368854.html
Vulcanize Shoes Sneakers Spring Solid-Color Casual Fashion Women's New Classic PU White,15.11,15.65,1760,4.9,0,HOPUS Store,https://www.aliexpress.com/item/32983004154.html
Casual Shoes Sneaker Driving Lace-Up Suede Fashion Summer Oxford Spring Flats Footwear,18.81,18.81,13,0,1.58,showfashion Store,https://www.aliexpress.com/item/32972764707.html
Home Slippers Shoes Couple Bath Anti-Slip Slides Mens Hollow Four-Seasons Leaky Soft-Bottom,3.04,3.42,39,5,0,Shop5498124 Store,https://www.aliexpress.com/item/4000572028679.html
Women Platform Shoes Flats Genuine Leather Woven Mary Janes Casual Summer Ladies Sandals zapatos de mujer,22.9,22.9,0,0,5.27,PRINCESMIU Official Store,https://www.aliexpress.com/item/4001146893977.html
